Year (yyyy),Month (MON),Vessel,Contributor,Subarea,Survey name,Density estimate (g m-2),CV of density estimate (%),CV estimation method,Survey area (km2),Echosounder model,Frequency used for biomass estimate (kHz),Other frequencies available,Method used for target identification,dB-difference window,TS model used,Depth range integrated (m),Time of day sampled ,Stratum name,Survey design description,Reference,Note,empty1,sourceexl,Net,Tow design,ASAM_NOTES
1998,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 98D,39.8,24.2,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1999,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 99A,25,36.1,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1999,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 99D,35.7,25,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2000,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 00D,86.4,21.5,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2001,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 01A,41.4,16.95,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2001,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 01D,12.1,21.6,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2002,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02A,13.9,39.6,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2002,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02D,11.7,37.1,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2003,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 03A,54.2,10.6,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2003,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 03D,36.7,17.8,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2004,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04A,10,20.2,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2004,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04D,18.1,30.1,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2005,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05A,23,48,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2005,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05D,16.8,30.2,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2006,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 06A,38.6,41.3,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2007,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 07A,103.4,42.8,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2008,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 08A,81.1,31.8,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2008,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 08D,22.6,48.9,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2009,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 09A,117.07,16,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2010,Jan,Moana Wave,USA,48.1,U.S. AMLR 10A,20.1,9.1,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2011,Jan,Moana Wave,USA,48.1,U.S. AMLR 11A,84.1,23.5,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1997,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 97A,141.9,23.3,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1998,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 98A,109.9,17.6,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1998,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 98D,126.2,23.1,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1999,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 99A,29.1,37.8,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1999,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 99D,20.7,37.2,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2000,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 00D,107.6,27.9,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2001,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 01A,1.4,54.7,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2001,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 01D,3.6,58.3,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2002,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02A,2.4,64.5,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2002,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02D,0.4,68.6,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2003,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 03A,67.3,19,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2003,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 03D,72.2,40.1,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2004,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04A,21.7,20.6,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2004,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04D,17.3,41.5,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2005,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05A,5.1,60.2,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2005,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05D,54,80.5,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2006,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 06A,30.9,55.2,Jolly and Hampton,38524,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2007,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 07A,136.7,16.7,Jolly and Hampton,38524,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2008,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 08A,70.3,41.9,Jolly and Hampton,38524,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2009,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 09A,51.028,11.3,Jolly and Hampton,38524,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2010,Feb,Moana Wave,USA,48.1,U.S. AMLR 10D,15.57,14.1,Jolly and Hampton,29031,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2011,Jan,Moana Wave,USA,48.1,U.S. AMLR 11A,49.5,18.2,Jolly and Hampton,38524,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1997,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 97A,37.3,56.2,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1998,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 98A,26.2,49.5,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1998,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 98D,41.5,27.5,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1999,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 99A,16.5,9.6,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2000,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 00D,80.7,80.9,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2001,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 01A,25.6,30.6,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2001,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 01D,5.6,60.6,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2002,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02A,7.1,41.5,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2002,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02D,7.8,96.1,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2003,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 03A,50.3,32.1,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2003,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 03D,50.2,26.8,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2004,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04A,1.2,58.5,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2004,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04D,2,99.6,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2005,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05A,17.085,16.04,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2005,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05D,20.5,53.1,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2006,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 06A,15.2,44,Jolly and Hampton,24479,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2007,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 07A,50.7,33,Jolly and Hampton,24479,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2008,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 08A,43,48.8,Jolly and Hampton,24479,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2008,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 08D,19.7,63.2,Jolly and Hampton,24479,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2009,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 09A,20.8,25.57,Jolly and Hampton,24479,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2010,Feb,Moana Wave,USA,48.1,U.S. AMLR 10D,6.1,53.9,Jolly and Hampton,24479,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2011,Jan,Moana Wave,USA,48.1,U.S. AMLR 11A,55,43.3,Jolly and Hampton,24479,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2011,Feb,Moana Wave,USA,48.1,U.S. AMLR 11D,14.6,28.8,Jolly and Hampton,24479,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2002,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02A,3.2,8.6,Jolly and Hampton,18034.03,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Joinville,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2002,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02D,13.4,54.5,Jolly and Hampton,18162.17,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Joinville,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2004,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04A,0.5,115,Jolly and Hampton,17056.53,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Joinville,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2004,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04D,5.6,44.5,Jolly and Hampton,18016.4,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Joinville,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2005,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05A,18.7,55.9,Jolly and Hampton,18172.22,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Joinville,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2005,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05D,4.8,52.1,Jolly and Hampton,18322.1,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Joinville,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2008,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 08A,68.8,20.1,Jolly and Hampton,18140.77,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Joinville,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2009,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 09A,30.6,40,Jolly and Hampton,18153.26,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Joinville,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2010,Feb,Moana Wave,USA,48.1,U.S. AMLR 10D,17.1,59.3,Jolly and Hampton,18112.24,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Joinville,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2011,Feb,Moana Wave,USA,48.1,U.S. AMLR 11D,76.7,58.7,Jolly and Hampton,18156,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Joinville,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2008,Feb,Yuzhmorgeologia,USA,48.2,U.S. AMLR 08D,229.9,46.8,Jolly and Hampton,10840.55,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South Orkneys ,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2008,Feb,Yuzhmorgeologia,USA,48.2,U.S. AMLR 08D,95.3,33.6,Jolly and Hampton,21198.39,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,South Orkneys ,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2012,Aug,Nathaniel B. Palmer,USA,48.1,U.S. AMLR 12W,1.58,51,Jolly and Hampton,43853,EK60,120,38200,dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2014,Aug,Nathaniel B. Palmer,USA,48.1,U.S. AMLR 14W,1.5,29.1,Jolly and Hampton,43915.886,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2015,Aug,Nathaniel B. Palmer,USA,48.1,U.S. AMLR 15W,0.15,30.4,Jolly and Hampton,42572.22267,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,Elephant Island,,,"200kHz is questionable for 2015, due to calibration. It wasn't used in 2016",,USA,1.8m IKMT,Non-targeted Oblique,
2016,Aug,Nathaniel B. Palmer,USA,48.1,U.S. AMLR 16W,1.5676,51.78,Jolly and Hampton,43863.75021,EK60,120,38,dB difference (120-38),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2014,Aug,Nathaniel B. Palmer,USA,48.1,U.S. AMLR 14W,3.8,51.9,Jolly and Hampton,38524,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,West,,,,,USA,1.8m IKMT,Non-targeted Oblique,
